id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DOM,,,,,,16.34,,,13.97,,,1.5,,,,1.86,2.03,,,1.85,1.13,1.95,2.28,2.71,1.69,1.29,1.17,0.97,0.84,0.6,0.72,0.68,0.56,,,
DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,38.23,,,26.99,,,20.72,,,21.37,,,18.21,,,11.85,,,11.52,,,8.73,,,4.68,,,3.73,,2.52,1.81,1.45,0.66,,,
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,,,,,,,1.51,,,1.53,,,2.52,,,2.65,,,2.61,,,1.89,,,1.61,,,0.99,,0.85,0.75,0.68,0.6,,,
ECU,,,,,,,9.96,,,,,,,7.69,6.64,,,6.1,9.76,11.64,,,7.29,6.32,5.68,3.6,4.27,3.96,3.73,2.85,2.59,2.46,1.72,1.43,,
EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,,,,,,,0.05,,,,,0.49,,0.13,,,0.03,,0.28,0.29,0.3,0.21,1.91,0.92,0.62,0.39,0.42,0.66,0.99,1.17,1.21,,,,
ETH,24.32,,,,,,,,,,,,,,26.2,,,,16.16,,,,,8.34,,,,,,9.04,,,,,,
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCS,18.21,,,18.75,,,18.18,,,19.28,,,23.22,,,23.28,,,22.75,,,23.5,,,21.93,,,19.96,,19.44,18.67,18.12,17.42,,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,0.82,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,26.15,,,,,2.65,,,,,,,,6.35,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,1.21,6.18,5.8,6.96,7.52,7.12,5.55,5.76,5.67,5.38,4.41,5.22,4.96,5.15,6.41,6.17,5.04,3.36,2.89,,
GHA,,,,,,,13.15,12.67,,,16.4,,,,,,,11.33,,,,,,,8.41,,,,,,,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,62.96,,,19.01,,,,,,,,26.14,,,,,23.71,,,,,10.34,,,,
GMB,,,,,,,,,,,,,,,,,,35.98,,,,,17.72,,,,,,,,,,,,,
GNB,,,,,,,,,,,22.67,,28.37,,,,,,,,,18.63,,,,,,,,30.53,,,,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
