id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,
TZA,,,,,,,,,,,28.95,,,,,,,,,44.54,,,,,,,18.95,,,,14.35,,,,,
UGA,,,,,,,,,51.93,,,28.61,,,,22.56,,,26.33,,,24.47,,,19.4,,,,13.16,,,10.29,,,,
UKR,,,,,,,,0.21,,,,0.68,0.28,,1.43,1.47,,,1.65,,,0.31,0.13,0.08,0.04,0.01,0.01,0,0.01,0,0,0,0,0,,
UMC,27.2,,,19.14,,,14.25,,,15.8,,,13.52,,,9.16,,,9.26,,,7.28,,,3.98,,,2.97,,2.22,1.69,1.42,0.86,,,
URY,0,,,,,,,,0.15,,,0.15,,,0.2,0.26,0.23,0.26,,0.17,0.18,0.21,0.3,0.34,0.33,0.22,0.12,0.06,0.08,0.08,0.1,0.11,0.11,0.09,,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,,,,,,,,0,,,,,,,,,,20.06,,27.07,,22.38,25.32,,,,,,,,,,,,,
VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,0.06,,,,,,0.02,,5.55,,,2.79,,,4.29,,,7.31,5.32,,5.45,9.44,12.13,11.12,12.45,6.8,,,,,,,,,,
VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,,,,,,,,,,,,14.95,,,,,,8.59,,,,10.37,,7.02,,5.52,,4.06,,0.99,,0.58,,0.62,,
VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,,,,,,
WLD,17.96,,,14.52,,,12.19,,,12.16,,,11.55,,,9.35,,,9.17,,,8.14,,,6.17,,,5.29,,4.59,3.99,3.67,3.23,,,
WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,
XKX,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.64,0.37,,,0.4,0.29,0.12,0.09,0.19,,,
YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,,,,,,,,,,,,,9.52,,,12.87,,,,11.71,,,,,,8.14,,4.8,,,4.9,,,,,
ZMB,,,,,,,,,,,34.74,,27.69,,,15.86,,16.76,,,,17.45,,27.26,,30.09,,,,31.59,,,,,,
ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,,,,,
